Nr.,Stadtteil,Einwohner mit Migrationshintergrund,Anteil Einwohner mit Migrationshintergrund an allen Einwohnern in %,Einwohner mit Migrationshintergrund unter 18 Jahre,Anteil Einwohner mit Migrationshintergrund unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
101,Altstadt-Süd,8166,30.0,1083,50.5
102,Neustadt-Süd,9967,26.3,1324,36.3
103,Altstadt-Nord,6102,33.9,612,50.0
104,Neustadt-Nord,7681,26.9,958,35.7
105,Deutz,4173,27.5,668,41.1
201,Bayenthal,2572,29.4,528,39.5
202,Marienburg,1588,28.7,374,41.2
203,Raderberg,1799,31.9,463,51.3
204,Raderthal,1031,21.5,228,29.6
205,Zollstock,5813,27.6,1148,44.8
206,Rondorf,2114,22.2,482,28.5
207,Hahnwald,399,19.2,82,19.0
208,Rodenkirchen,3288,20.9,447,23.3
209,Weiß,984,16.8,202,19.3
210,Sürth,2364,22.7,548,26.0
211,Godorf,677,29.6,172,47.9
212,Immendorf,540,26.7,138,37.2
213,Meschenich,4416,57.2,1156,71.2
301,Klettenberg,1692,16.1,318,19.9
302,Sülz,6291,17.8,731,17.9
303,Lindenthal,5432,18.4,608,18.3
304,Braunsfeld,2102,20.0,266,22.4
305,Müngersdorf,2015,25.5,343,29.4
306,Junkersdorf,2484,19.4,410,18.1
307,Weiden,4991,30.6,1067,46.5
308,Lövenich,1491,17.5,302,20.8
309,Widdersdorf,1993,24.8,604,32.5
401,Ehrenfeld,12332,34.6,2275,55.7
402,Neuehrenfeld,6148,26.3,1172,36.2
403,Bickendorf,6797,41.7,1795,57.9
404,Vogelsang,1954,24.0,475,34.4
405,Bocklemünd/Mengenich,3851,37.0,1022,52.8
406,Ossendorf,4118,41.5,1250,53.2
501,Nippes,10000,29.0,1978,39.9
502,Mauenheim,1648,29.1,424,43.4
503,Riehl,3047,27.2,517,40.1
504,Niehl,7220,38.3,1729,55.2
505,Weidenpesch,4614,33.9,1093,53.2
506,Longerich,3254,24.1,704,35.3
507,Bilderstöckchen,7005,46.4,1956,62.4
601,Merkenich,1559,27.4,436,40.9
602,Fühlingen,380,18.0,74,18.8
603,Seeberg,7286,64.6,1745,74.9
604,Heimersdorf,1219,20.9,253,32.4
605,Lindweiler,1253,37.0,305,48.0
606,Pesch,1717,22.5,350,33.7
607,Esch/Auweiler,1299,20.2,295,24.9
608,Volkhoven/Weiler,3320,55.3,931,65.5
609,Chorweiler,9797,76.1,2432,83.8
610,Blumenberg,3756,64.4,990,69.1
611,Roggendorf/Thenhoven,1466,37.4,355,46.9
612,Worringen,2036,22.1,474,30.4
701,Poll,3162,28.2,782,42.4
702,Westhoven,1304,27.2,265,38.4
703,Ensen,2162,31.2,516,46.4
704,Gremberghoven,1679,58.8,503,80.1
705,Eil,2958,33.6,722,51.6
706,Porz,6651,47.5,1569,66.1
707,Urbach,4387,36.1,1018,51.4
708,Elsdorf,411,27.0,103,37.3
709,Grengel,1708,32.6,379,46.3
710,Wahnheide,1957,25.7,459,40.7
711,Wahn,1867,30.1,525,42.3
712,Lind,778,22.8,177,34.0
713,Libur,188,17.2,53,21.5
714,Zündorf,3146,26.3,745,38.3
715,Langel,392,12.3,52,10.0
716,Finkenberg,4969,76.9,1215,89.7
801,Humboldt/Gremberg,7944,52.8,1889,75.9
802,Kalk,12311,57.0,2849,80.4
803,Vingst,6898,56.2,2019,74.3
804,Höhenberg,6170,51.2,1453,73.1
805,Ostheim,6121,55.8,1672,71.7
806,Merheim,3744,37.7,1038,51.6
807,Brück,1743,17.9,363,23.0
808,Rath/Heumar,1882,17.1,394,23.8
809,Neubrück,4367,50.6,1133,68.0
901,Mülheim,20082,48.5,4530,67.8
902,Buchforst,3576,49.0,871,70.1
903,Buchheim,5844,47.1,1589,67.6
904,Holweide,7373,35.4,1886,49.2
905,Dellbrück,4023,19.0,852,24.6
906,Höhenhaus,3606,24.5,923,35.4
907,Dünnwald,3724,32.3,1116,47.8
908,Stammheim,2794,37.9,623,51.2
909,Flittard,1960,24.9,499,36.9
