Nr.;Stadtteil;Einwohner mit Migrationshintergrund;Anteil Einwohner mit Migrationshintergrund an allen Einwohnern in %;Einwohner mit Migrationshintergrund unter 18 Jahre;Anteil Einwohner mit Migrationshintergrund unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
101;Altstadt-Süd;8238;30,3;1041;48,6
102;Neustadt-Süd;10282;27,1;1390;36,1
103;Altstadt-Nord;6140;34,7;652;53,1
104;Neustadt-Nord;7748;27,5;1073;37,8
105;Deutz;4342;28,5;714;44,4
201;Bayenthal;2556;29,3;565;41,9
202;Marienburg;1896;31,8;439;44,6
203;Raderberg;1869;33,2;460;54,0
204;Raderthal;1077;22,5;234;31,1
205;Zollstock;6372;28,9;1279;45,9
206;Rondorf;2330;24,5;547;33,2
207;Hahnwald;404;19,3;85;19,5
208;Rodenkirchen;3596;22,5;527;25,3
209;Weiß;1062;18,0;217;20,0
210;Sürth;2423;22,8;552;25,6
211;Godorf;848;35,7;240;56,9
212;Immendorf;538;27,3;142;38,8
213;Meschenich;4481;59,0;1218;74,1
301;Klettenberg;1780;16,9;343;20,5
302;Sülz;6744;18,7;879;20,1
303;Lindenthal;5842;19,5;700;20,2
304;Braunsfeld;2435;21,7;366;27,3
305;Müngersdorf;2421;29,4;400;32,7
306;Junkersdorf;2765;20,8;529;21,6
307;Weiden;5434;33,1;1168;50,0
308;Lövenich;1706;19,6;357;23,1
309;Widdersdorf;2982;29,4;978;37,1
401;Ehrenfeld;12409;34,4;2243;53,8
402;Neuehrenfeld;6447;27,3;1346;38,5
403;Bickendorf;7299;43,6;1879;60,5
404;Vogelsang;2089;25,6;517;37,2
405;Bocklemünd/Mengenich;4161;40,1;1150;58,7
406;Ossendorf;4322;43,2;1222;54,9
501;Nippes;10039;28,9;1999;38,6
502;Mauenheim;1733;31,0;415;45,4
503;Riehl;3160;28,2;529;41,0
504;Niehl;8021;41,3;1968;60,0
505;Weidenpesch;4792;35,0;1135;58,0
506;Longerich;3555;26,5;781;38,8
507;Bilderstöckchen;7550;49,1;2043;66,0
601;Merkenich;1679;29,3;433;45,1
602;Fühlingen;416;19,8;80;21,1
603;Seeberg;7382;66,3;1753;77,0
604;Heimersdorf;1366;23,5;294;37,5
605;Lindweiler;1387;39,9;346;51,5
606;Pesch;1905;25,1;368;35,8
607;Esch/Auweiler;1523;22,9;368;30,2
608;Volkhoven/Weiler;3453;56,6;915;68,3
609;Chorweiler;10107;77,3;2543;84,1
610;Blumenberg;3697;65,0;900;72,1
611;Roggendorf/Thenhoven;1529;39,0;367;50,8
612;Worringen;2306;24,4;571;33,8
701;Poll;3357;29,7;815;44,5
702;Westhoven;1417;28,6;300;42,6
703;Ensen;2424;33,5;527;47,9
704;Gremberghoven;1871;62,7;553;82,4
705;Eil;3401;38,1;866;57,4
706;Porz;7208;49,6;1683;67,8
707;Urbach;4890;40,0;1206;59,0
708;Elsdorf;547;33,3;147;44,4
709;Grengel;1906;35,6;432;51,4
710;Wahnheide;2218;28,9;525;47,1
711;Wahn;2113;32,4;604;45,7
712;Lind;844;24,8;175;35,9
713;Libur;191;17,3;56;23,0
714;Zündorf;3361;28,2;789;41,3
715;Langel;430;13,4;78;14,6
716;Finkenberg;5451;80,0;1450;91,5
801;Humboldt/Gremberg;8303;55,0;1900;77,6
802;Kalk;13377;58,7;3221;83,5
803;Vingst;7586;59,2;2198;75,6
804;Höhenberg;6443;53,2;1453;74,9
805;Ostheim;6983;59,7;1939;74,5
806;Merheim;4542;42,5;1277;57,1
807;Brück;2030;20,4;461;28,1
808;Rath/Heumar;2224;19,5;489;27,1
809;Neubrück;4788;55,2;1298;73,7
901;Mülheim;20941;50,2;4877;71,1
902;Buchforst;3673;51,2;855;71,5
903;Buchheim;6433;50,1;1650;69,2
904;Holweide;7840;37,7;1934;52,7
905;Dellbrück;4381;20,5;951;27,1
906;Höhenhaus;4192;28,0;1107;41,4
907;Dünnwald;3839;33,2;1120;48,4
908;Stammheim;2908;39,1;626;52,3
909;Flittard;2141;27,3;552;43,2
