Nr. ;Stadtteil;Einwohner mit Migrationshintergrund;Einwohner mit Migrationshintergrund an allen Einwohnern in %;Einwohner mit Migrationshintergrund unter 18 Jahre;Anteil Einwohner mit Migrationshintergrund unter 18 Jahre
101;Altstadt-Süd;8638;31,3;1147;50,6
102;Neustadt-Süd;10425;27,2;1400;35,5
103;Altstadt-Nord;6268;35,0;683;53,9
104;Neustadt-Nord;7750;27,5;1075;37,2
105;Deutz;4433;29,3;745;45,6
201;Bayenthal;2703;29,8;560;40,2
202;Marienburg;2105;33,9;466;46,8
203;Raderberg;1945;33,9;476;54,3
204;Raderthal;1126;23,6;237;32,2
205;Zollstock;6655;29,8;1324;46,8
206;Rondorf;2411;25,5;555;34,6
207;Hahnwald;435;20,8;94;22,1
208;Rodenkirchen;3607;22,6;599;27,5
209;Weiß;1090;18,5;218;20,1
210;Sürth;2483;23,3;565;26,2
211;Godorf;902;37,9;242;57,3
212;Immendorf;578;28,8;150;41,4
213;Meschenich;4533;59,9;1199;74,6
301;Klettenberg;1832;17,2;345;20,3
302;Sülz;6912;19,1;933;21,0
303;Lindenthal;6018;20,0;760;21,7
304;Braunsfeld;2544;22,2;402;28,6
305;Müngersdorf;2380;28,7;408;33,1
306;Junkersdorf;2895;21,6;561;22,5
307;Weiden;5657;34,1;1206;51,5
308;Lövenich;1778;20,3;377;24,3
309;Widdersdorf;3298;30,0;1091;37,2
401;Ehrenfeld;12515;34,5;2261;53,3
402;Neuehrenfeld;6698;28,0;1394;39,2
403;Bickendorf;7369;44,2;1876;61,7
404;Vogelsang;2197;26,8;536;38,2
405;Bocklemünd/Mengenich;4357;41,6;1203;59,1
406;Ossendorf;4346;43,1;1192;54,7
501;Nippes;10335;29,5;2048;39,0
502;Mauenheim;1779;31,8;418;45,5
503;Riehl;3473;30,4;624;44,9
504;Niehl;8392;42,7;2068;61,7
505;Weidenpesch;5012;36,2;1122;58,2
506;Longerich;3731;27,7;854;41,6
507;Bilderstöckchen;7687;49,5;2026;65,9
601;Merkenich;1712;29,9;432;45,7
602;Fühlingen;432;20,8;73;20,2
603;Seeberg;7560;67,3;1782;77,8
604;Heimersdorf;1408;24,2;306;39,4
605;Lindweiler;1434;41,0;373;54,3
606;Pesch;1988;26,1;390;36,9
607;Esch/Auweiler;1570;23,6;369;31,0
608;Volkhoven/Weiler;3495;57,3;915;69,7
609;Chorweiler;10174;78,0;2568;84,9
610;Blumenberg;3699;65,5;895;72,9
611;Roggendorf/Thenhoven;1591;40,0;408;52,9
612;Worringen;2480;25,8;622;36,0
701;Poll;3527;30,8;858;46,0
702;Westhoven;1510;29,1;300;41,2
703;Ensen;2556;34,9;552;49,8
704;Gremberghoven;1961;65,7;575;85,2
705;Eil;3535;39,2;905;59,8
706;Porz;7437;50,4;1730;67,9
707;Urbach;5038;41,0;1220;59,7
708;Elsdorf;544;33,3;145;44,9
709;Grengel;2003;37,3;460;53,5
710;Wahnheide;2406;30,9;571;49,9
711;Wahn;2216;33,6;620;48,0
712;Lind;868;25,3;184;38,3
713;Libur;197;17,9;51;22,1
714;Zündorf;3434;28,8;798;42,1
715;Langel;527;15,6;111;19,1
716;Finkenberg;5416;80,8;1447;92,2
801;Humboldt/Gremberg;8442;55,5;1922;78,0
802;Kalk;13970;59,7;3311;84,0
803;Vingst;7827;60,1;2248;76,8
804;Höhenberg;6672;54,6;1533;76,8
805;Ostheim;7312;60,9;2010;76,1
806;Merheim;4774;43,9;1386;60,1
807;Brück;2111;21,1;479;28,4
808;Rath/Heumar;2318;20,2;504;28,0
809;Neubrück;4895;56,0;1328;74,7
901;Mülheim;21453;51,0;5013;71,7
902;Buchforst;3743;52,3;862;72,9
903;Buchheim;6544;50,9;1652;70,8
904;Holweide;8136;38,7;1981;53,3
905;Dellbrück;4491;21,0;977;28,1
906;Höhenhaus;4342;28,9;1131;42,9
907;Dünnwald;3905;33,9;1132;48,5
908;Stammheim;3086;40,3;661;53,5
909;Flittard;2189;27,7;572;44,0
